,chemical_formula,smiles,casnum,molecular_weight,species,algea_EC50,units,source,foreign_key
584,C9H19NO,CCCCN(C=O)CCCC,000761-65-9,157.25326538085938,algea,5.375278407684165,log(mg/L),"VEGA, Literature set",7725
585,C12H27N,CCCCN(CCCC)CCCC,102-82-9,185.3494873046875,algea,2.312535423847214,log(mg/L),ECHA,1214
586,C10H23NO,CCCCN(CCO)CCCC,102-81-8,173.29571533203125,algea,3.0130809118886037,log(mg/L),"ECHA, NITE, Literature set",1218
587,C6H13N3O5,CCCCN(CCO[N+](=O)[O-])[N+](=O)[O-],82486-82-6,207.1845245361328,algea,3.951243718581428,log(mg/L),ECHA,7726
588,C5H9NO,CCCCN=C=O,111-36-4,99.1310577392578,algea,3.9337844972096585,log(mg/L),ECHA,1223
589,C5H9NS,CCCCN=C=S,592-82-5,115.19666290283205,algea,-1.0216512475319814,log(mg/L),"VEGA, Literature set",7727
590,C10H17NO4,C=CC(=O)OCCOC(=O)NCCCC,63225-53-6,215.24627685546872,algea,1.7884205679625405,log(mg/L),ECHA,7728
591,C6H15NO,CCCCNCCO,111-75-1,117.18939971923828,algea,3.4011973816621555,log(mg/L),ECHA,1241
592,C8H14O2,C=C(C)C(=O)OCCCC,97-88-1,142.195556640625,algea,2.917770732084279,log(mg/L),"NITE, VEGA, Literature set",1244
593,C7H14O3,CCCCOC(=O)C(C)O,138-22-7,146.18426513671875,algea,6.444131256700442,log(mg/L),"Aquatic ECETOC, ECHA, ECOTOX",7729
594,C8H12O4,CCCCOC(=O)C=CC(=O)O,925-21-3,172.17848205566406,algea,3.4339872044851463,log(mg/L),ECHA,7730
595,C13H22O4,C=C(CC(=O)OCCCC)C(=O)OCCCC,2155-60-4,242.31138610839844,algea,1.9315214116032136,log(mg/L),ECHA,7731
596,C8H16O2,CCCCOC(=O)CCC,109-21-7,144.21144104003906,algea,3.6027767550605247,log(mg/L),"ECHA, ECOTOX, OASIS, Literature set",7732
597,C9H16O3,CCCCOC(=O)CCC(C)=O,2052-15-5,172.22154235839844,algea,5.4214195636820195,log(mg/L),ECHA,7733
598,C19H21O4P,CCCCOC(=O)CCP1(=O)Oc2ccccc2-c2ccccc21,848820-98-4,344.3414001464844,algea,2.5649493574615367,log(mg/L),ECHA,7734
599,C7H14O2S,CCCCOC(=O)CCS,16215-21-7,162.24986267089844,algea,-0.6481738149172142,log(mg/L),ECHA,7735
600,C13H24O4S2,CCCCOC(=O)CSCSCC(=O)OCCCC,14338-82-0,308.457275390625,algea,1.9315214116032136,log(mg/L),ECHA,7736
601,C11H15NO2,CCCCOC(=O)c1ccc(N)cc1,94-25-7,193.2423095703125,algea,1.7227665977411035,log(mg/L),Literature set,7737
602,C16H22O4,CCCCOC(=O)c1ccccc1C(=O)OCCCC,84-74-2,278.34347534179693,algea,1.7119945007591926,log(mg/L),"ECHA, NITE, VEGA, Literature set",1250
603,C19H20O4,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,85-68-7,312.3597106933594,algea,-0.4155154439616658,log(mg/L),"ECHA, ECOTOX, OASIS, Literature set, VEGA",1248
604,C6H12O,C=COCCCC,111-34-2,100.15888214111328,algea,2.9856819377004897,log(mg/L),ECHA,1266
605,C6H14O,CCCCOCC,628-81-9,102.1747589111328,algea,5.4912078746912245,log(mg/L),ECHA,1269
606,C10H20O3,C=CCOCC(O)COCCCC,53146-45-5,188.26400756835938,algea,4.867534450455582,log(mg/L),ECHA,7738
607,C8H18O,CCCCOCCCC,142-96-1,130.22792053222656,algea,3.0910424533583165,log(mg/L),"NITE, VEGA, Literature set",1275
608,C7H17NO,CCCCOCCCN,16499-88-0,131.21598815917972,algea,2.6390573296152584,log(mg/L),ECHA,7739
609,C6H14O2,CCCCOCCO,111-76-2,118.17416381835938,algea,6.434546518787452,log(mg/L),"ECHA, NITE, ECOTOX, OASIS, Literature set",1277
610,C18H34O6,CCCCOCCOC(=O)CCCCC(=O)OCCOCCCC,141-18-4,346.4589538574219,algea,3.0549441331858365,log(mg/L),ECHA,7740
611,C12H22O4,C=C(C)C(=O)OCCOCCOCCCC,7328-22-5,230.3006896972656,algea,4.553876891600541,log(mg/L),ECHA,7741
612,C12H26O3,CCCCOCCOCCOCCCC,112-73-2,218.3330383300781,algea,3.720862499966987,log(mg/L),ECHA,1289
613,C10H22O4,CCCCOCCOCCOCCO,143-22-6,206.2792816162109,algea,6.697034247666483,log(mg/L),"ECHA, NITE, Literature set",1290
614,C9H17NO2S,CCCCOCCOCCSC#N,112-56-1,203.3017883300781,algea,2.4849066497880004,log(mg/L),Literature set,1292
615,C18H39O7P,CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,78-51-3,398.4718322753906,algea,4.110873864173311,log(mg/L),"ECHA, NITE, ECOTOX, OASIS, EPAFHM, Literature set",1293
616,C17H26ClNO2,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,23184-66-9,311.8468322753906,algea,-5.991464547107983,log(mg/L),"NITE, VEGA, Literature set",1294
617,C12H18O3,CCCCOCc1ccc(O)c(OC)c1,82654-98-6,210.26953125,algea,4.209160236650681,log(mg/L),ECHA,7742
618,C12H27O4P,CCCCOP(=O)(OCCCC)OCCCC,126-73-8,266.31414794921875,algea,2.1633230256605382,log(mg/L),"NITE, ECOTOX, OASIS, VEGA, Literature set",1298
619,C8H18S,CCCCSCCCC,000544-40-1,146.29351806640625,algea,1.9851308622085944,log(mg/L),"VEGA, Literature set",1304
620,C13H30N,CCCC[N+](C)(CCCC)CCCC,56375-79-2,200.38400268554688,algea,5.187385805840755,log(mg/L),ECHA,7743
