,chemical_formula,smiles,casnum,molecular_weight,species,algea_EC50,units,source
168,C14H14ClNO6,C=CCOC(=O)C(C)(C)OC(=O)c1cc([N+](=O)[O-])ccc1Cl,174489-76-0,327.7170715332031,algea,0.494696241836107,log(mg/L),ECHA
169,C18H22O2,CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,000080-43-3,270.3660888671875,algea,2.708783265678039,log(mg/L),"VEGA, Literature set"
170,C5H11NO2S,CC(C)(S)C(N)C(=O)O,52-66-4,149.21133422851562,algea,3.1780538303479458,log(mg/L),Literature set
171,C21H24O2,C=CCc1cc(C(C)(C)c2ccc(O)c(CC=C)c2)ccc1O,1745-89-7,308.4140625,algea,0.3364722366212129,log(mg/L),ECHA
172,C15H16O2,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,80-05-7,228.28634643554688,algea,1.33500106673234,log(mg/L),"NITE, VEGA, Literature set"
173,C19H24O4,CC(C)(c1ccc(OCCO)cc1)c1ccc(OCCO)cc1,901-44-0,316.3914794921875,algea,2.312535423847214,log(mg/L),"NITE, Literature set, ECHA"
174,C15H16O,CC(C)(c1ccccc1)c1ccc(O)cc1,599-64-4,212.2869415283203,algea,0.1823215567939546,log(mg/L),"ECHA, NITE, Literature set"
175,C10H16,CC1=CCC(=C(C)C)CC1,586-62-9,136.23403930664062,algea,-0.3681693233644674,log(mg/L),"ECHA, ECOTOX, OASIS"
176,C10H16,C=CC(=C)CCC=C(C)C,123-35-3,136.23403930664062,algea,-1.0729445419195318,log(mg/L),"ECHA, NITE, Literature set"
177,C15H26O,CC(C)=CCCC(C)(O)C1CC=C(C)CC1,23089-26-1,222.3663482666016,algea,1.33500106673234,log(mg/L),ECHA
178,C10H18O,C=CC(C)(O)CCC=C(C)C,78-70-6,154.24932861328125,algea,3.332204510175204,log(mg/L),"NITE, VEGA, Literature set, ECHA, ECOTOX"
179,C11H18O2,C=CC(C)(CCC=C(C)C)OC=O,115-99-1,182.25942993164062,algea,0.6931471805599453,log(mg/L),ECHA
180,C15H26O,C=CC(C)(O)CCC=C(C)CCC=C(C)C,7212-44-4,222.3663482666016,algea,0.6931471805599453,log(mg/L),"ECHA, VEGA, Literature set"
181,C15H26O,CC(C)=CCCC(C)=CCCC(C)=CCO,4602-84-0,222.3663482666016,algea,0.3987761199573678,log(mg/L),"ECHA, ECOTOX"
182,C12H20O,CC(C)=CCCC(C)=CCCC=O,762-26-5,180.2866058349609,algea,1.0647107369924282,log(mg/L),ECHA
183,C10H18O,CC(C)=CCCC(C)=CCO,106-24-1,154.24932861328125,algea,2.5726122302071057,log(mg/L),"ECHA, EFSA, ECOTOX"
184,C12H20O2,CC(=O)OCC=C(C)CCC=C(C)C,105-87-3,196.2860107421875,algea,1.3137236682850553,log(mg/L),ECHA
185,C11H18O2,CC(C)=CCCC(C)=CCOC=O,105-86-2,182.25942993164062,algea,-1.4696759700589417,log(mg/L),ECHA
186,C5H10O,CC(C)=CCO,556-82-1,86.1323013305664,algea,6.522092798170152,log(mg/L),"NITE, VEGA, Literature set"
