,chemical_formula,smiles,casnum,molecular_weight,species,fish_LC50,units,source
83,C18H21N3O9,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,40220-08-4,423.37405395507807,fish,1.9156029007617905,log(mg/L),"NITE, VEGA, Literature set"
84,C9H12,C=CC1CC2C=CC1C2,3048-64-4,120.19158172607422,fish,2.028148247292285,log(mg/L),ECHA
85,C8H12,C=CC1CC=CCC1,100-40-3,108.1808853149414,fish,1.5260563034950492,log(mg/L),"ECHA, NITE, Literature set"
86,C5H8O2,C=CC1OCCO1,3984-22-3,100.1158218383789,fish,4.174387269895637,log(mg/L),"NITE, Literature set, VEGA"
87,C4H5N,C=CCC#N,109-75-1,67.08920288085939,fish,5.204006687076795,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
88,C11H12O2,C=CCCC(=O)Oc1ccccc1,51231-09-5,176.21177673339844,fish,0.7514160886839212,log(mg/L),ECHA
89,C10H18,C=CCCCCCCC=C,1647-16-1,138.24992370605472,fish,-1.2378743560016174,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
90,C6H11N,C=CCNCC=C,124-02-7,97.15824127197266,fish,3.4011973816621555,log(mg/L),ECHA
91,C9H11N,C=CCNc1ccccc1,589-09-3,133.19033813476562,fish,3.580737295494233,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
92,C11H18O3,C=CCOC(=O)COC1CCCCC1,68901-15-5,198.2588195800781,fish,-1.584745299843729,log(mg/L),ECHA
93,C11H12O3,C=CCOC(=O)COc1ccccc1,7493-74-5,192.211181640625,fish,-2.017406150760383,log(mg/L),ECHA
94,C14H14O4,C=CCOC(=O)c1cccc(C(=O)OCC=C)c1,1087-21-4,246.2585601806641,fish,-1.4696759700589417,log(mg/L),ECHA
95,C14H14O4,C=CCOC(=O)c1ccccc1C(=O)OCC=C,131-17-9,246.2585601806641,fish,-0.8209805520698302,log(mg/L),"VEGA, Literature set"
96,C6H10O2,C=CCOCC1CO1,106-92-3,114.14240264892578,fish,3.58351893845611,log(mg/L),ECHA
97,C12H15N3O3,C=CCOc1nc(OCC=C)nc(OCC=C)n1,101-37-1,249.26580810546872,fish,2.3850863145057892,log(mg/L),ECHA
98,C8H13NO,C=CN1CCCCCC1=O,2235-00-9,139.19491577148438,fish,5.744604469176457,log(mg/L),ECHA
