id,comp_id,species,daphnia_ec50,fish_lc50,algea_ec50,units,source
1526,8498,fish,"",2.99,"",mg/L,"ECOTOX, EPAFHM, Literature set"
1527,8499,fish,"",7.4806734280402,"",mg/L,"EPAFHM, Literature set, VEGA"
1528,1371,fish,"",0.74,"",mg/L,ECOTOX
1529,1374,fish,"",14.0,"",mg/L,ECOTOX
1530,8500,fish,"",2.62,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
1531,8501,"daphnia, fish",380.0,216.0,"",mg/L,ECHA
1532,1018,fish,"",11.0,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
1533,1020,"alga, fish","",4.167,1.8,mg/L,"ECOTOX, Literature set"
1534,1021,fish,"",2.36662892447465,"",mg/L,OASIS
1535,8502,daphnia,1.73,"","",mg/L,ECHA
1536,8503,"alga, daphnia",58.0,"",118.0,mg/L,ECHA
1537,1384,fish,"",225.963171166811,"",mg/L,"OASIS, Literature set, VEGA"
1538,8504,fish,"",75.0,"",mg/L,"NITE, Literature set, VEGA"
1539,3886,daphnia,14.3,"","",mg/L,ECHA
1540,8505,"alga, daphnia, fish",0.15,1.3,0.045,mg/L,"NITE, VEGA, Literature set"
1541,8506,"alga, daphnia, fish",28.1,69.7,150.0,mg/L,ECHA
1542,8507,daphnia,0.005,"","",mg/L,"Literature set"
1543,1395,"daphnia, fish",5.4,12.7,"",mg/L,"EFSA, Literature set, ECOTOX"
1544,1396,"daphnia, fish",0.001,20.0,"",mg/L,"VEGA, Literature set"
1545,1406,"alga, fish","",1.3,0.0665,mg/L,"NITE, VEGA, Literature set"
1546,1400,"alga, daphnia, fish",65.677,109.893846085374,72.0,mg/L,"NITE, VEGA, Literature set"
1547,8508,"alga, fish","",1491.85924516027,2370.0,mg/L,"Literature set"
1548,8509,fish,"",2.44,"",mg/L,"ECOTOX, ECHA(10)"
1549,8510,"alga, fish","",21.4,69.0,mg/L,"VEGA, Literature set"
1550,1418,"alga, daphnia, fish",34.0,24.0,8.0,mg/L,"ECHA, NITE, VEGA, Literature set"
1551,8511,alga,"","",18.4,mg/L,ECHA
1552,8512,fish,"",336.0,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
1553,1424,"alga, daphnia",51.8,"",34.0,mg/L,ECHA
1554,8513,alga,"","",0.47,mg/L,"Literature set"
1555,1423,fish,"",175.0,"",mg/L,ECHA
