,chemical_formula,smiles,casnum,molecular_weight,species,daphnia_EC50,units,source
139,C10H9ClO,CC(=O)C=Cc1cccc(Cl)c1,20766-36-3,180.630859375,daphnia,1.4816045409242156,log(mg/L),"NITE, Literature set"
140,C10H10O,CC(=O)C=Cc1ccccc1,122-57-6,146.18580627441406,daphnia,2.70805020110221,log(mg/L),"NITE, VEGA, Literature set"
141,C8H8O2,CC(=O)C=Cc1ccco1,623-15-4,136.14791870117188,daphnia,2.5649493574615367,log(mg/L),"NITE, VEGA, Literature set"
142,C10H10ClNO2,CC(=O)CC(=O)Nc1ccccc1Cl,93-70-9,211.6448974609375,daphnia,3.030133700271324,log(mg/L),ECHA
143,C12H22O,CC(=O)CC(C)(C)C1CCCCC1,4927-39-3,182.302490234375,daphnia,0.7275486072772777,log(mg/L),ECHA
144,C12H16O,CC(=O)CC(C)(C)c1ccccc1,7403-42-1,176.2548370361328,daphnia,3.555348061489413,log(mg/L),ECHA
145,C5H8O2,CC(=O)CC(C)=O,123-54-6,100.1158218383789,daphnia,3.254242968705492,log(mg/L),"ECHA, ECOTOX, OASIS, ECOTOX(13), ECOTOX-EPA(13), EPAFHM, Literature set"
146,C19H16O4,CC(=O)CC(c1ccccc1)c1c(O)oc2ccccc2c1=O,81-81-2,308.32794189453125,daphnia,4.533523797035577,log(mg/L),"VEGA, Literature set"
147,C13H22O,CC(=O)CCC1=C(C)CCCC1(C)C,17283-81-7,194.3131866455078,daphnia,1.7439688053917064,log(mg/L),ECHA
148,C9H7Cl3O,CC(=O)Cc1c(Cl)cc(Cl)cc1Cl,1228284-86-3,237.5102844238281,daphnia,1.9315214116032136,log(mg/L),ECHA
149,C8H10N2O5S,CC(=O)Nc1cc(S(=O)(=O)O)cc(N)c1O,40306-75-0,246.2404022216797,daphnia,4.903792198478207,log(mg/L),ECHA
150,C14H10Cl2FNO,CC(=O)Nc1ccc(F)cc1-c1ccc(Cl)c(Cl)c1,877179-03-8,298.13970947265625,daphnia,1.2809338454620642,log(mg/L),ECHA
151,C8H7BrFNO,CC(=O)Nc1ccc(F)cc1Br,1009-22-9,232.0496826171875,daphnia,1.7749523509116738,log(mg/L),ECHA
152,C8H8ClNO3S,CC(=O)Nc1ccc(S(=O)(=O)Cl)cc1,121-60-8,233.67202758789065,daphnia,4.276666119016055,log(mg/L),ECHA
