id,comp_id,molecule_chembl_id,species,mic,units,censoring,molecular_weight,assay_parameters,source,source_journal
4990,14438,CHEMBL4517510,"Escherichia coli",32.0,ug.mL-1,"'>'",872.22,"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well"," NBS"," CORNING #3640  | TIME = 18.0 hr"
4991,14439,CHEMBL4588419,"Escherichia coli",32.0,ug.mL-1,"'>'",377.4,"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well"," NBS"," CORNING #3640  | TIME = 18.0 hr"
4992,14440,CHEMBL4519996,"Escherichia coli",32.0,ug.mL-1,"'='",906.89,"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well"," NBS"," CORNING #3640  | TIME = 18.0 hr"
4993,14441,CHEMBL4537564,"Escherichia coli",4.0,ug.mL-1,"'='",432.5,"","Scientific Literature","J Med Chem"
4994,14442,CHEMBL4554884,"Escherichia coli",64.0,ug.mL-1,"'>'",468.26,"","Scientific Literature","Bioorg Med Chem"
4995,14443,CHEMBL4448272,"Escherichia coli",100.0,ug.mL-1,"'='",395.59,"","Scientific Literature","Bioorg Med Chem"
4996,12384,CHEMBL4592990,"Escherichia coli",8.0,ug.mL-1,"'='",251.33,"","Scientific Literature","Bioorg Med Chem"
4997,12383,CHEMBL4578492,"Escherichia coli",16.0,ug.mL-1,"'='",207.27,"","Scientific Literature","Bioorg Med Chem"
4998,14444,CHEMBL4519933,"Escherichia coli",512.0,ug.mL-1,"'='",221.3,"","Scientific Literature","Bioorg Med Chem"
4999,14445,CHEMBL4544494,"Escherichia coli",32.0,ug.mL-1,"'>'",414.44,"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well"," NBS"," CORNING #3640  | TIME = 18.0 hr"
5000,14276,CHEMBL4560364,"Escherichia coli",32.0,ug.mL-1,"'>'",817.74,"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well"," NBS"," CORNING #3640  | TIME = 18.0 hr"
5001,14446,CHEMBL4583635,"Escherichia coli",32.0,ug.mL-1,"'>'",857.83,"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well"," NBS"," CORNING #3640  | TIME = 18.0 hr"
5002,14447,CHEMBL4552435,"Escherichia coli",32.0,ug.mL-1,"'>'",343.34,"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well"," NBS"," CORNING #3640  | TIME = 18.0 hr"
5003,14448,CHEMBL4531900,"Escherichia coli",4.0,ug.mL-1,"'='",414.51,"","Scientific Literature","J Med Chem"
5004,14449,CHEMBL4441947,"Escherichia coli",0.12,ug.mL-1,"'='",432.5,"","Scientific Literature","J Med Chem"
5005,14450,CHEMBL2238253,"Escherichia coli",50.0,ug.mL-1,"'='",358.45,"","Scientific Literature","Med Chem Res"
5006,14451,CHEMBL2262812,"Escherichia coli",125.0,ug.mL-1,"'='",375.48,"","Scientific Literature","Med Chem Res"
5007,14452,CHEMBL2235694,"Escherichia coli",18.75,ug.mL-1,"'='",373.82,"","Scientific Literature","Med Chem Res"
