,species,smiles,MIC,units,censoring,molecular_weight,assay_parameters,source,source_journal
53,Escherichia coli,CCOC(=O)[C@]12CO[C@H](C(C)(C)C)N1C(=O)/C(=C(/CC13CC4CC(CC(C4)C1)C3)NC(C)CCCN(CC)CC)C2=O,3.4657359027997265,log(ug/mL),'>',585.83,,Scientific Literature,Bioorg. Med. Chem. Lett.
54,Escherichia coli,O=c1c2cc(Cl)ccc2nc(-c2ccccc2)n1-c1ccc(Cl)cc1,2.5257286443082556,log(ug/mL),'=',367.24,,Scientific Literature,Med Chem Res
55,Escherichia coli,CCCC(=O)N1CC(=O)/C(=C(\CC23CC4CC(CC(C4)C2)C3)NCCCN2CCOCC2)C1=O,3.4657359027997265,log(ug/mL),'>',471.64,,Scientific Literature,Bioorg. Med. Chem. Lett.
56,Escherichia coli,CCCCCCN/C(=C1/C(=O)CNC1=O)c1ccccc1,3.4657359027997265,log(ug/mL),'>',286.38,,Scientific Literature,Bioorg. Med. Chem. Lett.
57,Escherichia coli,CCCCCCCCCCCCC/C(Nc1ccccc1)=C1\C(=O)CNC1=O,3.4657359027997265,log(ug/mL),'>',384.56,,Scientific Literature,Bioorg. Med. Chem. Lett.
58,Escherichia coli,CCOP(=O)(OCC)C(O)c1cc2cccc(CC)c2n2nnnc12,2.995732273553991,log(ug/mL),'=',364.34,,Scientific Literature,Eur. J. Med. Chem.
59,Escherichia coli,NCCCOc1cc(OCCCN)cc(-n2cc(-c3ccc4c(ccc5cc(-c6cn(-c7cc(OCCCN)cc(OCCCN)c7)nn6)ccc54)c3)nn2)c1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,3.912023005428146,log(ug/mL),'>',1213.00,,Scientific Literature,ACS Med. Chem. Lett.
60,Escherichia coli,O=C(O)CNC(=O)c1ccc(NC(=S)Nc2cccc(F)c2)cc1,2.5257286443082556,log(ug/mL),'=',347.37,,Scientific Literature,Eur. J. Med. Chem.
61,Escherichia coli,COc1ccc(-c2cn(-c3ccc4c(=O)n(-c5ccccc5)c(/C=C/c5ccc(C#N)cc5)nc4c3)nn2)cc1,4.1588830833596715,log(ug/mL),'>',522.57,,Scientific Literature,Eur J Med Chem
62,Escherichia coli,C/C(=N\NC(=N)N)c1sc(-c2ccc(N3CCCCC3)cc2)nc1C,4.1588830833596715,log(ug/mL),'=',356.50,,Scientific Literature,Eur J Med Chem
